full_name,stars,updated_at
codecrafters-io/build-your-own-x,449675,08:26.1
freeCodeCamp/freeCodeCamp,434897,08:26.1
sindresorhus/awesome,423039,08:26.1
public-apis/public-apis,385825,08:26.1
EbookFoundation/free-programming-books,378951,08:26.1
kamranahmedse/developer-roadmap,345569,08:26.1
jwasham/coding-interview-university,334786,08:26.1
donnemartin/system-design-primer,329581,08:26.1
996icu/996.ICU,275037,08:26.2
vinta/awesome-python,274172,08:26.2
awesome-selfhosted/awesome-selfhosted,263414,08:26.2
practical-tutorials/project-based-learning,252779,08:26.2
facebook/react,241677,08:26.2
TheAlgorithms/Python,214870,08:26.2
torvalds/linux,211000,08:26.2
vuejs/vue,209757,08:26.2
ossu/computer-science,199179,08:26.2
trimstray/the-book-of-secret-knowledge,198288,08:26.2
trekhleb/javascript-algorithms,195132,08:26.2
tensorflow/tensorflow,192845,08:26.2
getify/You-Dont-Know-JS,184090,08:27.1
ohmyzsh/ohmyzsh,183378,08:27.1
CyC2018/CS-Notes,183160,08:27.2
Significant-Gravitas/AutoGPT,180348,08:27.2
microsoft/vscode,179729,08:27.2
jackfrued/Python-100-Days,176510,08:27.2
flutter/flutter,174297,08:27.2
twbs/bootstrap,173814,08:27.2
github/gitignore,171313,08:27.2
n8n-io/n8n,163307,08:27.2
avelino/awesome-go,160188,08:27.2
massgravel/Microsoft-Activation-Scripts,159674,08:27.2
jlevy/the-art-of-command-line,159181,08:27.2
AUTOMATIC1111/stable-diffusion-webui,159036,08:27.2
ollama/ollama,157799,08:27.2
huggingface/transformers,153977,08:27.2
Snailclimb/JavaGuide,153086,08:27.2
airbnb/javascript,147995,08:27.3
langflow-ai/langflow,141371,08:27.3
f/awesome-chatgpt-prompts,139597,08:27.3
ytdl-org/youtube-dl,139187,08:28.7
yt-dlp/yt-dlp,138552,08:28.7
521xueweihan/HelloGitHub,137534,08:28.7
vercel/next.js,136615,08:28.7
yangshun/tech-interview-handbook,136244,08:28.7
Genymobile/scrcpy,132659,08:28.7
golang/go,131467,08:28.7
DigitalPlatDev/FreeDomain,130720,08:28.7
labuladong/fucking-algorithm,130708,08:28.7
microsoft/PowerToys,126552,08:28.7
Chalarangelo/30-seconds-of-code,126053,08:28.7
facebook/react-native,124807,08:28.7
langchain-ai/langchain,122103,08:28.7
langgenius/dify,121995,08:28.7
krahets/hello-algo,120272,08:28.8
electron/electron,119427,08:28.8
kubernetes/kubernetes,119300,08:28.8
open-webui/open-webui,118055,08:28.8
ripienaar/free-for-dev,116339,08:28.8
justjavac/free-programming-books-zh_CN,115977,08:28.8
nodejs/node,114797,08:29.8
excalidraw/excalidraw,112631,08:29.8
d3/d3,112010,08:29.9
mrdoob/three.js,109910,08:29.9
rust-lang/rust,108592,08:29.9
axios/axios,108370,08:29.9
microsoft/TypeScript,107127,08:29.9
denoland/deno,105586,08:29.9
iptv-org/iptv,105025,08:29.9
goldbergyoni/nodebestpractices,104706,08:29.9
GrowingGit/GitHub-Chinese-Top-Charts,104565,08:29.9
rustdesk/rustdesk,104320,08:29.9
godotengine/godot,104177,08:29.9
microsoft/generative-ai-for-beginners,103938,08:29.9
facebook/create-react-app,103926,08:29.9
shadcn-ui/ui,103001,08:29.9
Hack-with-Github/Awesome-Hacking,102748,08:29.9
fatedier/frp,102288,08:30.0
papers-we-love/papers-we-love,101133,08:30.0
microsoft/terminal,101130,08:30.0
x1xhlol/system-prompts-and-models-of-ai-tools,100908,08:31.1
deepseek-ai/DeepSeek-V3,100776,08:31.1
tauri-apps/tauri,100082,08:31.1
angular/angular,99531,08:31.1
mui/material-ui,97477,08:31.1
comfyanonymous/ComfyUI,97178,08:31.1
ant-design/ant-design,97009,08:31.1
Anduin2017/HowToCook,96536,08:31.1
mtdvio/every-programmer-should-know,96378,08:31.1
pytorch/pytorch,95974,08:31.1
jaywcjlove/awesome-mac,95876,08:31.1
neovim/neovim,95005,08:31.1
nvbn/thefuck,94930,08:31.2
supabase/supabase,94786,08:31.2
microsoft/Web-Dev-For-Beginners,94672,08:31.2
ryanmcdermott/clean-code-javascript,94139,08:31.2
iluwatar/java-design-patterns,93503,08:31.2
fastapi/fastapi,93166,08:31.2
puppeteer/puppeteer,93082,08:31.2
2dust/v2rayN,92518,08:31.2
openai/whisper,92094,08:34.1
deepseek-ai/DeepSeek-R1,91592,08:34.1
tailwindlabs/tailwindcss,91565,08:34.1
ggml-org/llama.cpp,91466,08:34.1
nvm-sh/nvm,90442,08:34.1
PanJiaChen/vue-element-admin,90215,08:34.1
florinpop17/app-ideas,88863,08:34.1
storybookjs/storybook,88839,08:34.1
google-gemini/gemini-cli,87741,08:34.1
clash-verge-rev/clash-verge-rev,87575,08:34.1
gin-gonic/gin,87406,08:34.1
bitcoin/bitcoin,87263,08:34.1
ChatGPTNextWeb/NextChat,86737,08:34.1
immich-app/immich,86660,08:34.1
django/django,86181,08:34.2
gohugoio/hugo,85431,08:34.2
opencv/opencv,85326,08:34.2
oven-sh/bun,85206,08:34.2
sveltejs/svelte,85166,08:34.2
mermaid-js/mermaid,84751,08:34.2
microsoft/markitdown,84329,08:35.4
home-assistant/core,83240,08:35.4
Shubhamsaboo/awesome-llm-apps,83182,08:35.4
laravel/laravel,83064,08:35.4
gothinkster/realworld,82653,08:35.5
animate-css/animate.css,82536,08:35.5
macrozheng/mall,82451,08:35.5
3b1b/manim,82440,08:35.5
microsoft/ML-For-Beginners,82233,08:35.5
rasbt/LLMs-from-scratch,81201,08:35.5
tonsky/FiraCode,80757,08:35.5
ruanyf/weekly,80749,08:35.5
MunGell/awesome-for-beginners,80723,08:35.5
bregman-arie/devops-exercises,80273,08:35.5
microsoft/playwright,80266,08:35.5
louislam/uptime-kuma,79900,08:35.5
DopplerHQ/awesome-interview-questions,79442,08:35.5
spring-projects/spring-boot,79400,08:35.5
doocs/advanced-java,78636,08:35.5
ByteByteGoHq/system-design-101,78470,08:35.6
syncthing/syncthing,78336,08:36.6
fighting41love/funNLP,77893,08:36.6
tensorflow/models,77682,08:36.6
anuraghazra/github-readme-stats,77496,08:36.6
hoppscotch/hoppscotch,77287,08:36.6
vitejs/vite,77124,08:36.6
netdata/netdata,77044,08:36.6
nomic-ai/gpt4all,76969,08:36.7
punkpeye/awesome-mcp-servers,76784,08:36.7
MisterBooo/LeetCodeAnimation,76570,08:36.7
hacksider/Deep-Live-Cam,76300,08:36.7
FortAwesome/Font-Awesome,76082,08:36.7
junegunn/fzf,75966,08:36.7
elastic/elasticsearch,75656,08:36.7
typicode/json-server,75463,08:36.7
coder/code-server,75400,08:36.7
astral-sh/uv,75092,08:36.7
sdmg15/Best-websites-a-programmer-should-visit,74999,08:36.7
modelcontextprotocol/servers,74568,08:36.7
d2l-ai/d2l-zh,74445,08:36.7
unionlabs/union,74438,08:37.8
nestjs/nest,73945,08:37.8
browser-use/browser-use,73840,08:37.8
vuejs/awesome-vue,73515,08:37.8
ventoy/Ventoy,73162,08:37.8
Alvin9999/new-pac,73009,08:37.8
swisskyrepo/PayloadsAllTheThings,72360,08:37.9
redis/redis,72166,08:37.9
CompVis/stable-diffusion,72020,08:37.9
thedaviddias/Front-End-Checklist,71866,08:37.9
localsend/localsend,71800,08:37.9
zed-industries/zed,71625,08:37.9
awesomedata/awesome-public-datasets,71487,08:37.9
tesseract-ocr/tesseract,71446,08:37.9
Stirling-Tools/Stirling-PDF,71346,08:37.9
grafana/grafana,71311,08:37.9
abi/screenshot-to-code,71269,08:37.9
moby/moby,71237,08:37.9
enaqx/awesome-react,71165,08:37.9
josephmisiti/awesome-machine-learning,70989,08:37.9
sherlock-project/sherlock,70976,08:38.9
pallets/flask,70933,08:38.9
strapi/strapi,70706,08:38.9
mlabonne/llm-course,70501,08:38.9
Developer-Y/cs-video-courses,70408,08:38.9
python/cpython,70351,08:38.9
hakimel/reveal.js,70223,08:38.9
ocornut/imgui,70098,08:39.0
PKUFlyingPig/cs-self-learning,70074,08:39.0
infiniflow/ragflow,69981,08:39.0
firecrawl/firecrawl,69945,08:39.0
protocolbuffers/protobuf,69886,08:39.0
binary-husky/gpt_academic,69829,08:39.0
openai/openai-cookbook,69785,08:39.0
jesseduffield/lazygit,69450,08:39.0
swiftlang/swift,69450,08:39.0
apache/superset,69434,08:39.0
lobehub/lobe-chat,69189,08:39.0
obsproject/obs-studio,69100,08:39.0
base/node,68762,08:39.0
